code_region;nom_de_la_region;code_departement;code_arrondissement;code_canton;code_commune;nom_de_la_commune;population_municipale;population_comptee_a_part;population_totale;annee_recensement;annee_utilisation;code_insee;superficie;statut;code_insee_commune;nom_com;nom_dep;nom_reg;epci;code_epci;libepci
32;Hauts-de-France;59;5;36;013;Anstaing;1432;14;1446;2016;2019;59013;2.3;Commune;59013;Anstaing;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;13;163;Croix;21271;296;21567;2016;2019;59163;4.5;Commune;59163;Croix;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;02;371;Le Maisnil;643;15;658;2016;2019;59371;3.55;Commune;59371;Le Maisnil;NORD;HAUTS-DE-FRANCE;245900816;245900816;CC des Weppes
32;Hauts-de-France;59;5;40;598;Toufflers;3923;21;3944;2016;2019;59598;2.43;Commune;59598;Toufflers;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;99;599;Tourcoing;97476;694;98170;2016;2019;59599;15.19;Commune;59599;;;;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;33;650;Wattrelos;41341;229;41570;2016;2019;59650;13.57;Commune;59650;Wattrelos;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
31;Nord-Pas-de-Calais;59;5;07;025;Aubers;1537;38;1575;2012;2015;59025;10.09;Commune;59025;;;;245900816;245900816;CC des Weppes
31;Nord-Pas-de-Calais;59;5;61;279;Halluin;20770;182;20952;2012;2015;59279;12.67;Commune;59279;;;;245900410;245900410;CU de Lille Métropole
31;Nord-Pas-de-Calais;59;5;28;360;Loos;21176;516;21692;2012;2015;59360;6.9;Commune;59360;Loos;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
32;Hauts-de-France;59;5;02;303;Herlies;2349;25;2374;2014;2017;59303;7.08;Commune;59303;Herlies;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU Lille Métropole
32;Hauts-de-France;59;5;04;470;Prémesques;2193;24;2217;2014;2017;59470;5.08;Commune;59470;Prémesques;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU Lille Métropole
32;Hauts-de-France;59;5;98;512;Roubaix;95600;596;96196;2014;2017;59512;13.21;Commune;59512;Roubaix;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU Lille Métropole
32;Hauts-de-France;59;5;36;602;Tressin;1422;36;1458;2014;2017;59602;1.91;Commune;59602;Tressin;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU Lille Métropole
32;Hauts-de-France;59;5;22;656;Wervicq-Sud;5278;48;5326;2014;2017;59656;5.03;Commune;59656;Wervicq-Sud;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU Lille Métropole
31;Nord-Pas-de-Calais;59;5;02;011;Annoeullin;10246;111;10357;2013;2016;59011;8.94;Commune;59011;Annœullin;NORD;HAUTS-DE-FRANCE;245901061;245901061;CC de la Haute Deûle
31;Nord-Pas-de-Calais;59;5;04;202;Erquinghem-Lys;4773;41;4814;2013;2016;59202;9.2;Commune;59202;Erquinghem-Lys;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
31;Nord-Pas-de-Calais;59;5;02;281;Hantay;1193;13;1206;2013;2016;59281;2.12;Commune;59281;Hantay;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
32;Hauts-de-France;59;5;37;426;Neuville-en-Ferrain;10308;75;10383;2014;2017;59426;6.2;Commune;59426;Neuville-en-Ferrain;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU Lille Métropole
32;Hauts-de-France;59;5;28;553;Santes;5858;77;5935;2014;2017;59553;7.52;Commune;59553;Santes;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU Lille Métropole
31;Nord-Pas-de-Calais;59;5;02;051;La Bassée;6565;53;6618;2013;2016;59051;3.56;Commune;59051;La Bassée;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
31;Nord-Pas-de-Calais;59;5;22;152;Comines;12564;86;12650;2013;2016;59152;16.07;Commune;59152;Comines;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
31;Nord-Pas-de-Calais;59;5;13;163;Croix;21114;281;21395;2013;2016;59163;4.5;Commune;59163;Croix;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
31;Nord-Pas-de-Calais;59;5;33;339;Leers;9456;67;9523;2013;2016;59339;5.5;Commune;59339;Leers;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
31;Nord-Pas-de-Calais;59;5;02;524;Sainghin-en-Weppes;5584;56;5640;2013;2016;59524;7.81;Commune;59524;Sainghin-en-Weppes;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
32;Hauts-de-France;59;5;36;106;Bouvines;696;15;711;2015;2018;59106;2.73;Commune;59106;Bouvines;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;28;566;Sequedin;4692;24;4716;2015;2018;59566;3.97;Commune;59566;Sequedin;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;04;017;Armentières;25015;358;25373;2016;2019;59017;6.23;Commune;59017;Armentières;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;02;250;Fournes-en-Weppes;2216;133;2349;2016;2019;59250;8.37;Commune;59250;Fournes-en-Weppes;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;02;477;Provin;4242;28;4270;2016;2019;59477;3.33;Commune;59477;Provin;NORD;HAUTS-DE-FRANCE;245901061;245901061;CC de la Haute Deûle
32;Hauts-de-France;59;5;02;487;Radinghem-en-Weppes;1365;21;1386;2016;2019;59487;6.77;Commune;59487;;;;245900816;245900816;CC des Weppes
31;Nord-Pas-de-Calais;59;5;74;201;Erquinghem-le-Sec;539;4;543;2012;2015;59201;1.79;Commune;59201;;;;245900410;245900410;CU de Lille Métropole
31;Nord-Pas-de-Calais;59;5;74;566;Sequedin;4314;32;4346;2012;2015;59566;3.97;Commune;59566;Sequedin;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
31;Nord-Pas-de-Calais;59;5;84;009;Villeneuve-d'Ascq;62308;817;63125;2012;2015;59009;27.56;Commune;59009;Villeneuve-d'Ascq;NORD;HAUTS-DE-FRANCE;245900410;245900410;CU de Lille Métropole
32;Hauts-de-France;59;5;02;005;Allennes-les-Marais;3462;46;3508;2016;2019;59005;5.64;Commune;59005;;;;245901061;245901061;CC de la Haute Deûle
32;Hauts-de-France;59;5;28;196;Ennetières-en-Weppes;1316;20;1336;2016;2019;59196;10.57;Commune;59196;Ennetières-en-Weppes;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;40;247;Forest-sur-Marque;1447;19;1466;2016;2019;59247;1.05;Commune;59247;Forest-sur-Marque;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;37;426;Neuville-en-Ferrain;10371;68;10439;2016;2019;59426;6.2;Commune;59426;Neuville-en-Ferrain;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;40;522;Sailly-lez-Lannoy;1773;34;1807;2016;2019;59522;4.46;Commune;59522;Sailly-lez-Lannoy;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;28;195;Englos;602;8;610;2015;2018;59195;1.3;Commune;59195;Englos;NORD;HAUTS-DE-FRANCE;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;28;201;Erquinghem-le-Sec;580;10;590;2015;2018;59201;1.79;Commune;59201;;;;245900410;245900410;Métropole Européenne de Lille
32;Hauts-de-France;59;5;22;356;Lompret;2315;54;2369;2015;2018;59356;3.13;Commune;59356;;;;245900410;245900410;Métropole Européenne de Lille
